pool_name,website_domain,website_url,profile_url,directory_source,source_type,confidence,first_seen,last_seen,notes
Semipool,semipool.com,https://semipool.com/,https://minerstat.com/pools/semipool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
setenforce.ca,setenforce.ca,https://setenforce.ca/,https://miningpoolstats.stream/5gcash,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for 5gcash.
Siamining,siamining.com,https://siamining.com/,https://minerstat.com/pools/siamining,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Sigmanauts Pool,sigmanauts.com,https://sigmanauts.com/,https://minerstat.com/pools/sigmanauts-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Sigmapool,sigmapool.com,https://sigmapool.com/,https://minerstat.com/pools/sigmapool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Skypool.org,skypool.co,https://skypool.co/,https://minerstat.com/pools/skypool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Slush Pool,slushpool.com,https://slushpool.com/,https://minerstat.com/pools/slush-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Snowflake Pool,pool.snowflake-net.com,http://pool.snowflake-net.com/,https://minerstat.com/pools/snowflake-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Solopool,solopool.org,https://solopool.org/,https://minerstat.com/pools/solopool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
SpaceWorks,spaceworks.co,https://spaceworks.co/,https://minerstat.com/pools/spaceworks,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Spiderpool,spiderpool.com,https://spiderpool.com/,https://minerstat.com/pools/spiderpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Sumcoin Mining Pool,sumcoinpool.org,https://sumcoinpool.org/,https://minerstat.com/pools/sumcoin-mining-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Sunpool,sunpool.top,https://sunpool.top/,https://minerstat.com/pools/sunpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
SupportXMR,supportxmr.com,https://supportxmr.com/,https://minerstat.com/pools/supportxmr,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Suprnova,suprnova.cc,https://suprnova.cc/,https://minerstat.com/pools/suprnova,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
SVPool,svpool.com,https://svpool.com/,https://minerstat.com/pools/svpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Talleo,talleo.org,https://talleo.org/,https://minerstat.com/pools/talleo,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
tazmining.ch,tazmining.ch,https://tazmining.ch/,https://miningpoolstats.stream/alephium,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for alephium.
TG Pool,rtm.timyg.org,http://rtm.timyg.org/,https://minerstat.com/pools/tg-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
The Miners Haven,theminershaven.net,https://theminershaven.net/,https://minerstat.com/pools/the-miners-haven,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
ThunderHash,thunderhash.com,https://thunderhash.com/,https://minerstat.com/pools/thunderhash,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Token Mining Pool,tokenminingpool.com,https://tokenminingpool.com/,https://minerstat.com/pools/token-mining-pool; https://miningpoolstats.stream/0xbitcoin,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
TON Coin Pool,toncoinpool.io,https://toncoinpool.io/,https://minerstat.com/pools/ton-coin-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
TON Pool,ton-pool.com,https://ton-pool.com/,https://minerstat.com/pools/ton-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Ton Whales,tonwhales.com,https://tonwhales.com/,https://minerstat.com/pools/ton-whales,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Trustpool,trustpool.ru,https://trustpool.ru/,https://minerstat.com/pools/trustpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
TSF Mining Pool,tsfpool.xyz,https://tsfpool.xyz/,https://minerstat.com/pools/tsf-mining-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Turtle Turtle Club,turtleturtle.club,https://turtleturtle.club/,https://minerstat.com/pools/turtle-turtle-club,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
tw-pool.com,tw-pool.com,https://tw-pool.com/,https://miningpoolstats.stream/alephium,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for alephium.
ubiqpool,ubiqpool.io,https://ubiqpool.io/,https://minerstat.com/pools/ubiqpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Ukrainepool,ukrainepool.org,https://ukrainepool.org/,https://minerstat.com/pools/ukrainepool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
