domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
bch.88pool.com,3333,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/; https://bch.88pool.com/help.html,confirmed,active,2026-07-20,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
bch.88pool.com,3334,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/; https://bch.88pool.com/help.html,confirmed,active,2026-07-20,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
bch.88pool.com,3335,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/,confirmed,active,2026-08-10,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
bch.88pool.com,3336,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/,confirmed,active,2026-08-10,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
bch.88pool.com,3337,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/,confirmed,active,2026-08-10,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
bch.88pool.com,3338,stratum+tcp,88pool.com,BCH,SHA-256,Global,official,https://bch.88pool.com/,confirmed,active,2026-08-10,2026-08-10,Discovered by shallow crawling official website domain bch.88pool.com. auto_source=official_site_crawl
ss.antpool.com,25,stratum+tcp,AntPool,BTC/BCH,SHA-256,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984340865177-BTC-BCH-Mining-Tutorial,confirmed,active,2026-04-21,2026-05-04,Discovered by antpool_btc_bch using html_stratum_extract. Official BTC/BCH setup guide. auto_source=priority_sources
ss.antpool.com,443,stratum+tcp,AntPool,BTC/BCH,SHA-256,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984340865177-BTC-BCH-Mining-Tutorial,confirmed,active,2026-04-21,2026-05-04,Discovered by antpool_btc_bch using html_stratum_extract. Official BTC/BCH setup guide. auto_source=priority_sources
ss.antpool.com,3333,stratum+tcp,AntPool,BTC/BCH,SHA-256,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984340865177-BTC-BCH-Mining-Tutorial,confirmed,active,2026-04-17,2026-05-04,Official BTC/BCH stratum server. | Discovered by antpool_btc_bch using html_stratum_extract. Official BTC/BCH setup guide. auto_source=priority_sources | Discovered by antpool_btc_bch using html_stratum_extract. Official BTC/BCH setup guide. auto_source=priority_sources | Discovered by antpool_btc_bch using html_stratum_extract. Official BTC/BCH setup guide. auto_source=priority_sources
stratum-etc.antpool.com,25,stratum+tcp,AntPool,ETC,Etchash,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984283054745-ETC-Mining-Instruction,confirmed,active,2026-04-21,2026-05-11,Discovered by antpool_etc using html_stratum_extract. Official ETC setup guide. auto_source=priority_sources
